person_id,glasses,beard,moustache,poses,gender,race
00168,Yes,No,No,a,Male,Asian
00524,Yes,No,No,"ql,pr,a,qr,hr,fb,fa,hl,pl",Male,White
00794,No,No,No,"fa,fb,rb,pl,pr,hr,ra,ql,qr,rc,hl",Male,White
00727,No,No,No,"pl,fa,hr,qr,rc,pr,ql,fb,hl,re,rb,rd,ra",Female,White
00117,Yes,No,No,a,Male,Asian
00833,Yes,No,No,"a,hr,hl,fa,pl,pr,fb",Male,White
00338,Yes,No,No,"hl,a,fb,pl,pr,fa,hr",Male,White
00246,No,No,No,"hl,fb,pr,pl,fa,hr",Male,Asian
00815,No,No,No,"rc,fb,ra,pr,hl,fa,hr,qr,ql,rb,pl",Female,White
00080,No,No,No,"hr,fa,pl,pr,fb",Male,White
00915,No,No,No,"qr,ra,fa,pl,fb,ql,pr,hr,rb,hl,rc",Female,Black
00547,Yes,No,No,"b,a,fb,pr,c,qr,hr,pl,hl,ql,fa",Female,White
00178,No,No,No,"fb,pl,hr,pr,fa",Male,Asian
00671,No,No,No,"hr,re,qr,hl,rc,ql,pl,pr,rd,fa,fb",Male,White
00508,Yes,Yes,No,"hl,ra,fb,ql,a,fa,pr,rc,pl,hr,qr,rb",Male,White
01011,No,No,No,"fb,hl,pl,pr,qr,re,rc,hr,fa,rd,ql",Female,White
00348,No,No,No,"hr,pr,fb,fa,hl,pl",Male,Hispanic
00977,No,No,No,"hl,rd,qr,hr,re,pr,rc,ql,pl,fb,fa",,
00367,No,No,No,"fb,pr,hl,pl,hr,fa",Male,Hispanic
00690,No,No,No,"ql,rc,qr,pr,fb,pl,re,fa,hr,hl,rd",Male,Asian
00864,No,No,No,"fb,hl,fa,pl,pr,hr",Female,White
00188,No,No,No,"hr,pl,hl,pr,fa,fb",Male,Asian
00781,Yes,No,No,"a,hr,fb,qr,ra,ql,pr,rb,pl,fa,hl,rc",Female,White
00518,No,No,No,"qr,hl,fb,hr,pr,pl,fa,ql",Male,White
00892,No,No,Yes,"hl,pr,rd,re,pl,qr,fa,hr,fb,rc,ql",Male,White
00900,No,No,Yes,"rc,pl,fb,fa,ql,qr,pr,hl,hr,rd,re,rb,ra",Male,White
00811,No,No,Yes,"ra,hr,pr,fb,ql,pl,hl,qr,rb,rc,fa",Male,White
00242,No,No,No,"hr,pl,hl,fa,pr,fb",Female,Asian
00752,No,No,No,"fa,hr,re,ql,hl,rc,fb,rd,qr,pl,pr,rb,ra",Male,Asian
00797,No,No,No,"rb,fb,pl,fa,qr,ra,rc,pr,hl,hr,rd,re,ql",Male,Hispanic
00102,No,No,No,"fb,pl,fa,hr,pr",Female,Black
00187,Yes,No,No,a,Male,Black
00358,No,No,Yes,"fa,hl,pl,pr,fb,hr",Male,Black
00806,No,Yes,No,"pr,fa,hr,ql,hl,pl,rd,re,fb,qr,ra,rc,rb",Male,Asian
00714,No,No,No,"rc,fb,pl,rd,pr,re,fa,ql,hr,hl,rb,ra,qr",Male,White
00984,No,No,No,"fb,hl,pl,rb,pr,ra,rc,fa,hr,qr,ql",Female,White
00173,Yes,No,No,a,Male,White
00186,Yes,No,No,a,Male,White
00528,No,No,No,"fa,ql,pr,hl,pl,fb,hr,qr",Male,White
00921,No,No,No,"ra,pl,hl,rc,fb,ql,pr,rb,fa,hr",Male,Asian
00270,No,No,No,"hr,fb,fa,pr,hl,pl",Female,White
00185,No,No,No,"pr,hr,pl,hl,fa,fb",Female,White
00493,No,No,No,"fa,qr,hl,pr,hr,pl,fb,ql",Male,Asian
00123,No,No,No,"hr,pr,fa,fb,pl",Female,White
00045,Yes,No,No,a,Female,Asian
00368,Yes,No,No,a,Male,White
00285,No,No,No,"fb,pr,fa,pl,hr,hl",Male,White
00066,Yes,Yes,No,a,Male,Asian
00443,No,No,No,"pl,fa,hr,fb,pr",Female,Hispanic
00021,No,No,No,"fb,pr,hr,hl,fa",Female,White
00538,Yes,No,No,"hl,a,pl,fa,ql,hr,qr,pr,fb",Male,White
00417,No,No,No,"fa,fb,hl,pr,pl,hr",Female,White
00880,No,No,No,"fb,re,rc,fa,pl,qr,hr,ql,pr,hl,rd",Male,Asian
00034,Yes,No,Yes,a,Male,Asian
00378,No,No,No,"pr,fb,hl,hr,pl,fa",Female,Black
00272,No,No,No,"fb,hl,pl,pr,hr,fa",Male,White
00782,No,No,No,"hl,qr,re,rd,pl,fa,pr,fb,rc,hr,ql",Female,White
00708,No,No,No,"ql,hr,re,qr,rb,hl,rc,fa,fb,rd,pr,pl,ra",Male,White
00132,No,No,No,"fb,hr,pl,fa,pr",Male,Asian
00847,No,No,No,"pr,hl,fa,pl,hr,fb",Male,White
00131,No,No,No,"hr,pr,fa,fb,pl",Male,Asian
00237,No,No,No,"hl,pr,fa,pl,fb,hr",Male,Asian
00746,No,No,Yes,"pl,qr,fa,rc,pr,ql,ra,fb,rd,hl,hr,rb,re",Male,Black
00661,No,No,No,"qr,re,rc,ql,hr,hl,fb,fa,rd,pl",Female,White
00190,No,No,No,"hr,hl,pl,fa,pr,fb",Female,Asian
00548,Yes,No,No,"fa,hl,qr,a,pl,hr,pr,ql,fb",Female,Hispanic
00904,No,No,No,"hl,ql,ra,pl,pr,rb,fb,fa,qr,hr,rc",Male,White
00154,No,No,No,"hr,fb,hl,fa,pr,pl",Female,Pacific
01001,No,Yes,No,"rc,hr,rd,hl,pl,fb,qr,re,pr,fa,ql",Male,White
00667,No,No,No,"fb,ql,ra,qr,rc,hl,pl,hr,pr,fa,rb",Male,Asian
00388,No,No,No,"fb,hl,pr,pl,fa,hr",Female,White
00718,No,No,Yes,"hl,rc,pl,ql,fa,ra,hr,fb,rb,qr,pr",Male,White
00116,No,No,No,"fa,pl,hr,pr,fb",Male,Asian
